Material;Grupo;UnidadeMedida;SomaQuantidade;SomaValorTotal;MenorPreco;MaiorPreco;Amostras;PrecoMedio;UltimoPreco;UltimaData
"TUBO DE COBRE DIÂMETRO 1/2"" (12m)";REDE FRIGORIGENA;KG;4.0;460.0;115.0;115.0;1;115.0;115.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 1/4"" (205m)";REDE FRIGORIGENA;KG;29.0;2610.0;90.0;90.0;1;90.0;90.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 1/4"" (6m)";REDE FRIGORIGENA;KG;1.0;90.0;90.0;90.0;1;90.0;90.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 3/4"" (188m)";REDE FRIGORIGENA;KG;167.0;15030.0;90.0;90.0;1;90.0;90.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 3/4"" (5m)";REDE FRIGORIGENA;KG;5.0;450.0;90.0;90.0;1;90.0;90.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 3/8"" (144m)";REDE FRIGORIGENA;KG;32.0;2880.0;90.0;90.0;1;90.0;90.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 3/8"" (84m)";REDE FRIGORIGENA;KG;19.0;1710.0;90.0;90.0;1;90.0;90.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 5/8"" (10m)";REDE FRIGORIGENA;KG;4.0;360.0;90.0;90.0;1;90.0;90.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 5/8"" (182m)";REDE FRIGORIGENA;KG;70.0;6300.0;90.0;90.0;1;90.0;90.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 5/8"" (40m)";REDE FRIGORIGENA;KG;16.0;1440.0;90.0;90.0;1;90.0;90.0;23/03/2026
"TUBO DE COBRE DIÂMETRO 7/8"" (162m)";REDE FRIGORIGENA;KG;172.0;19780.0;115.0;115.0;1;115.0;115.0;23/03/2026
VENEZIANA TAE PARA TOMADA DE AR EXTERNO, COM FILTRO G4 E REGISTRO - DIM. 600x500mm - REF.: TROPICAL TAE 600x500mm.;DUTO;UNID.;2.0;1079.2836;539.6418;539.6418;1;539.6418;539.6418;23/03/2026
VENEZIANA TAE PARA TOMADA DE AR EXTERNO, COM FILTRO G4 E REGISTRO - DIM. 750x500mm - REF.: TROPICAL TAE 750x500mm.;DUTO;UNID.;1.0;652.023;652.023;652.023;1;652.023;652.023;23/03/2026
